"COUNTRY_CODE","RECORD_SOURCE","ID","AUDIT_MODIFIEDBY","AUDIT_MODIFIEDDATE","DEPRECATO","INFO_IDESTERNO","INFO_IDISTANZAATTIVITAMASSIVA","INFO_DATA","AUDIT_CREATEDBY","AUDIT_CREATEDDATE","INFO_ORIGINEINFORMAZIONE","BENEFICIARIOESTENSIONEBENEFICI","CLASSEBENEPEGNO","CLASSEGARANZIA","CODICEIDENTIFICATIVOGARANZIACONSORTILE","CODICEORIGINARIO","CONCESSIONEESTENSIONEBENEFICI","CONSOLIDABILE","CONSOLIDATA","CONTROGARANZIA","COPERTURAGARANZIA","CORRISPONDEALLADATACERTA","DATAACQUISIZIONE","DATAATTO","DATACONSOLIDAMENTO","DATAESCUSSIONE","DATAESTINZIONE","DATAISCRIZIONE","DATARINNOVO","DATARINUNCIA","DATASCADENZA","GARANZIAREALESUCCESSIVA","NUMEROATTO","PERCENTUALECONTROGARANZIA","PERCENTUALEGARANZIA","PERIODOCONSOLIDAMENTO","PRESTATAINVIASOLIDALE","REGISTROGENERALE","REGISTROPARTICOLARE","STATOGARANZIA","TITOLARITABENIIPOTECATI","VALOREALDEFAULT","VALOREESCUSSO","VALOREMASSIMOGARANTITO","VALORENOMINALE","VALOREPRESTITO","VALORERIVALUTATO","VERSION","INFOENTITA_ID","NATURAATTO_ID","POSIZIONE_ID","SOTTOTIPOGARANZIA_ID","TIPOGARANZIA_ID","ELEMENTOORGANIZZATIVOCONSERVATORIA_ID","CONTESTATA","ESCUSSA","PREVEDESEGNALAZIONEBI","RINNOVATA","VALORENOMINALEPOZIORI","VALORERESIDUOPOZIORI","CONTROGARANZIAPROPRIA","DATADELIBERACONTROGARANTE","DATALIBERAZIONE","IMPORTOACCANTONATO","IMPORTONONACCANTONATO","LIBERATA","NOMECOMPLETOCONSORZIOGARANZIA","NONRINNOVABILE","VALORERESIDUO","CAUSALENONRINNOVABILITA_ID","TIPOESTINZIONEGARANZIA_ID","CODICEIDENTIFICATIVOCAVEAU","CODICERIFERIMENTOSOTTOSISTEMA1","CODICERIFERIMENTOSOTTOSISTEMA2","CODICERIFERIMENTOSOTTOSISTEMA3","CODICERIFERIMENTOSOTTOSISTEMA4","CODICERIFERIMENTOSOTTOSISTEMA5","DATACONTESTAZIONE","FONDIARIO","MATERIALITA","NUMEROGARANZIA","NUMEROPREATTO","RACCOLTA","REPERTORIO","SOLVIBILITA","ELEMENTOORGANIZZATIVOFILIALEORIGINE_ID","STATOGARANZIAESTESO_ID","ATTOMUTUO_ID","IPOTECAFRAZIONATA","PERCASSETNONFINANZIATO","VALOREASSETAGARANZIA","DESCRIZIONELINEAGARANTITA","CODICEIDENTIFICATIVOCONTROGARANZIA","CONTATTOCREDITOREORIGINARIO_ID","VALOREGARANTITO"
IT,LAWEB,175,-1,"2017-04-01 21:06:57.350",,"483031_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-10-07 00:00:00.000","2011-10-07 00:00:00.000","2012-04-07 00:00:00.000",,,,,,,,"13963",,,1,,,"1519",1,1,,,,"13,000","9,560.02",,1,,,"568,054",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,176,-1,"2017-04-01 21:06:57.350",,"488638_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-01-24 00:00:00.000","2012-01-24 00:00:00.000","2012-07-24 00:00:00.000",,,,,,,,"3924",,,1,,,"449",1,1,,,,"15,000","9,563.61",,1,,,"723,857",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,177,-1,"2017-04-01 21:06:57.350",,"489315_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-03-22 00:00:00.000","2012-03-22 00:00:00.000","2012-09-22 00:00:00.000",,,,,,,,"15485",,,1,,,"1267",1,1,,,,"18,000","9,242.66",,1,,,"507,414",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,178,-1,"2017-04-01 21:06:57.350",,"490633_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-11-16 00:00:00.000","2011-11-16 00:00:00.000","2012-05-16 00:00:00.000",,,,,,,,"31055",,,1,,,"5986",1,1,,,,"25,000","18,070.23",,1,,,"507,558",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,179,-1,"2017-04-01 21:06:57.350",,"491457_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-06-25 00:00:00.000","2010-06-25 00:00:00.000","2010-12-25 00:00:00.000",,,,,,,,"7645",,,1,,,"1951",1,1,,,,"25,000","14,647.85",,1,,,"660,481",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,180,-1,"2017-04-01 21:06:57.350",,"493965_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-10-21 00:00:00.000",,"2011-10-21 00:00:00.000",,,,,,,,,,,2,,,,1,1,,,,"13,099.09","20,000",,1,,,"441,787",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,181,-1,"2017-04-01 21:06:57.350",,"495429_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-05-30 00:00:00.000","2011-05-30 00:00:00.000","2011-11-30 00:00:00.000",,,,,,,,"61222",,,1,,,"13770",1,1,,,,"24,000","13,814.7",,1,,,"37,406",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,182,-1,"2017-04-01 21:06:57.350",,"499457_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-03-11 00:00:00.000",,"2010-09-11 00:00:00.000",,,,,,,,,,,1,,,,1,1,,,,"30,000","15,000",,1,,,"447,225",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,184,-1,"2017-04-01 21:06:57.350",,"511646_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-03-31 00:00:00.000","2011-03-31 00:00:00.000","2011-09-30 00:00:00.000",,,,,,,,"36161",,,1,,,"7826",1,1,,,,"22,000","16,969.64",,1,,,"572,441",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,185,-1,"2017-04-01 21:06:57.350",,"511653_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-06-17 00:00:00.000","2011-06-17 00:00:00.000","2011-12-17 00:00:00.000",,,,,,,,"38428",,,1,,,"7082",1,1,,,,"20,000","12,926.09",,1,,,"572,084",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
